"AI.species.i.","yrs","ymeans","yn","ysd","yse"
21740,1986,0.00220004942198968,2297,0.0373480061208945,0.000779268145437102
21740,1991,0.00890117765879461,500,0.0370957320272903,0.00165897156976274
21740,1994,-0.000239739265469296,828,0.0269126306613314,0.000935278568846998
21740,1997,-0.00107871061312629,847,0.027203280140619,0.000934715767497403
21740,2000,-0.00964918722959851,708,0.0336394385727569,0.0012642475193729
21740,2002,-0.00761752195619467,1175,0.0334296499349297,0.000975243120707222
21740,2004,0.00701122472843688,540,0.0470009668444315,0.00202259957604589
21740,2006,-0.000465864372307167,539,0.0387252437339427,0.00166801432961752
21740,2010,0.00695691692462385,571,0.0402268294484058,0.0016834404182524
21740,2012,-0.00254995999930928,457,0.0352352446934166,0.00164823522665124
21740,2014,-0.0119794344066381,622,0.0373629620085787,0.00149811828920407
21740,2016,-0.0144129247749556,708,0.0528563671566068,0.00198646392139614
21740,2018,-0.00188226287860494,858,0.0374984986027822,0.00128017763439209
21741,1986,0.100170513733731,22,0.0807415128394288,0.0172141483770019
21741,1994,0.00607539854163567,163,0.0326613448012355,0.00255823396262276
21741,1997,-0.00335017526782091,91,0.0281860255657628,0.00295469832080455
21741,2000,-0.00360383889495748,111,0.0285193818426331,0.00270693993098538
21741,2002,-0.00994532646525413,122,0.0401814840556134,0.00363786063607052
21741,2004,-0.00606086789035988,43,0.0386804560051014,0.00589871424059118
21741,2006,0.00448813723334747,43,0.0293384710083902,0.00447407488452408
21741,2010,-0.0121305561418767,49,0.0632525327627758,0.00903607610896797
21741,2012,-0.00218640489902577,81,0.0388569978891407,0.00431744420990452
21741,2014,0.000227323275739658,98,0.0307852889010964,0.00310978379182175
21741,2016,-0.0023087979566867,48,0.0460849993874729,0.0066517967004903
21741,2018,-0.00847401666827566,55,0.0544675505232172,0.00734440301429254
21720,1986,-0.00209345997467916,909,0.032697731450403,0.00108451529428833
21720,1991,0.00872198029721389,580,0.0283111849638873,0.001175557970277
21720,1994,0.00463407992650629,1066,0.0264127345055048,0.000808974372130458
21720,1997,-0.00291402566765775,702,0.0257574893805901,0.000972153789428848
21720,2000,-0.00340838921017488,782,0.0257557118362023,0.000921022374905232
21720,2002,0.000439057156937629,1237,0.0250609432020679,0.000712545435546455
21720,2004,0.00146840547689882,765,0.02551358961504,0.000922445779297989
21720,2006,-0.00395478803699185,757,0.0263138740900595,0.000956394021283334
21720,2010,0.00396292236155979,678,0.0244559515470331,0.000939225160842348
21720,2012,-0.00348550477094691,595,0.0263574225071553,0.00108054897440385
21720,2014,-0.00828616126890376,550,0.0307146624274784,0.00130967760643183
21720,2016,-0.0103720402440149,733,0.0279653910225569,0.00103292528546552
21720,2018,-0.0116873237029688,584,0.0296032421717619,0.0012249908771536
30420,1986,0.0147616149339273,511,0.0446561886087368,0.00197547347791742
30420,1991,0.0247163543307918,134,0.046235493551094,0.00399413830199607
30420,1994,0.0140479299330187,400,0.0461777995552473,0.00230888997776236
30420,1997,0.0135117110859376,508,0.0429930093406686,0.0019075063348915
30420,2000,-0.00770295429651441,692,0.036633636574661,0.00139260190663129
30420,2002,-0.0136144328795146,492,0.0444156059273347,0.00200241015850162
30420,2004,-0.00700502782806373,497,0.0409699501226936,0.00183775342525165
30420,2006,-0.00286199605215308,515,0.0281559371414136,0.00124069882931772
30420,2010,0.00655460755938448,537,0.037822872161052,0.00163217740716975
30420,2012,-0.00189027420395533,566,0.04316026300221,0.00181416116878435
30420,2014,-0.0116951278067076,524,0.0379129988674669,0.00165623704553456
30420,2016,-0.0092512895335074,583,0.0316488036385107,0.00131075951935501
30420,2018,-0.00774390866362081,587,0.0311605940261575,0.00128613535712088
10262,1997,-0.0504703256388822,10,0.0611161735049983,0.0193266310149831
10262,2000,-0.000716897124936957,296,0.096381216971935,0.00560204444612158
10262,2002,-0.0180335955406601,197,0.0941689369386291,0.00670925895737482
10262,2004,0.0383789443839781,295,0.0880277556331532,0.00512517408114771
10262,2006,-0.00700683404559665,283,0.0630862153700558,0.00375008625093605
10262,2010,-0.0124886687098269,320,0.0677562629131069,0.00378769024437638
10262,2012,-0.0189457441188232,303,0.0572456931277854,0.00328867914223872
10262,2014,-0.00984257728131269,221,0.0589958654511239,0.0039684913647238
10262,2016,-0.00488492423651767,230,0.0748577119762952,0.0049359713560255
10262,2018,0.00658429860555293,212,0.0692327694213239,0.0047549261257213
10110,1986,0.00977804684387409,319,0.0424953933325375,0.00237928524770111
10110,1991,-0.00265675185868362,400,0.0491928088578168,0.00245964044289084
10110,1994,0.000799305538701505,599,0.0292280634418654,0.00119422629695971
10110,1997,0.00642607329741515,682,0.0276676523365339,0.00105944916372659
10110,2000,-0.00687600225844996,711,0.033654785795674,0.00126215307689899
10110,2002,-0.000902513710205799,1601,0.0387057149183609,0.000967340626232
10110,2004,3.3957796826319e-05,755,0.0292428074054984,0.00106425472785809
10110,2006,-0.00379734841119401,553,0.0423796211958022,0.00180216480868111
10110,2010,0.00341873446686698,721,0.0333281325286524,0.00124120451645197
10110,2012,-0.00511837297081063,402,0.0340866479026384,0.00170008747597477
10110,2014,-0.000485556295304715,314,0.025218228873684,0.001423146987773
10110,2016,-0.0130975608548344,482,0.0376639077803593,0.00171554398984527
10110,2018,-0.011737673028806,592,0.0263087722719456,0.00108128387968878
30060,1986,0.00210052508069324,1909,0.0439664588880657,0.00100627926580752
30060,1991,0.00943764551142339,741,0.0340205652105214,0.00124977669111579
30060,1994,0.0106051027425188,783,0.0339265030239972,0.00121243430517466
30060,1997,0.00779005258436804,1011,0.0283017061022784,0.00089009638854999
30060,2000,-0.00191873375735489,1242,0.0276054402393415,0.00078331037627366
30060,2002,-0.00336635420337525,1302,0.0280299389345417,0.000776813312306604
30060,2004,0.000140510713868434,969,0.0234552950501723,0.000753492635391961
30060,2006,-0.00327991523126225,1047,0.0251671406987812,0.000777786742471436
30060,2010,0.00257168587870989,952,0.0244887703631223,0.000793685606729488
30060,2012,-0.00772961892759542,1146,0.0278395426355565,0.000822374787785646
30060,2014,-0.00696558538121555,1079,0.0245225573622281,0.000746543359468188
30060,2016,-0.0103373473684964,1062,0.0271542268257501,0.000833249732814645
30060,2018,-0.00945689099817041,918,0.0272079835144535,0.000897997267539534
21921,1986,-0.00264162788920222,1030,0.0822715334113345,0.00256348617487762
21921,1991,0.00434497024835953,272,0.0561677386466423,0.0034056693998852
21921,1994,0.0142317964900451,654,0.0428163419384061,0.00167425145855172
21921,1997,0.022042273207371,511,0.0498069324148261,0.00220332896889154
21921,2000,-0.0128436671978504,840,0.0542805466745657,0.00187285679011965
21921,2002,-0.0165981175411082,743,0.0376734856155507,0.00138210614167075
21921,2004,-0.00215579232168038,607,0.034282631844846,0.00139148910210152
21921,2006,-0.0108908242484898,602,0.0326061668490015,0.00132892814988234
21921,2010,0.00587560313512456,564,0.031695380070331,0.00133461626075814
21921,2012,0.00424648295592159,420,0.0470261638919003,0.00229464183862976
21921,2014,-0.0086024520211179,492,0.040590718834593,0.0018299709311238
21921,2016,0.000572497113920939,302,0.0455766492539602,0.00262264145523369
21921,2018,-0.0044798231309009,1078,0.040412665351939,0.00123085845755328
